abndn,abandon
amng,among
amt,amount
amtd,amounted
amts,amounts
amplfi,amplify
amus,amuse
amusd,amused
amusm,amusement
an,an
anlg,analogy
anlss,analysis
anltcl,analytical
anlz,analyze
anlzd,analyzed
anlzg,analyzing
ancstr,ancestor
ancstrs,ancestors
ancor,anchor
ancors,anchors
ancnt,ancient
x,and
anjl,angel
angr,anger
angl,angle
angls,angles
angre,angry
angis,anguish
angisd,anguished
angisg,anguishing
anml,animal
anmls,animals
anmosts,animosities
anmost,animosity
anvrsrs,anniversaries
anvrsr,anniversary
annc,announce
anncd,announced
anncm,announcement
any,annoy
anync,annoyance
anyncs,annoyances
anyd,annoyed
anyg,annoying
anys,annoys
anul,annual
anr,another
ansr,answer
ansrd,answered
ansrg,answering
ansrs,answers
antcpt,anticipate
antcptd,anticipated
antcpts,anticipates
antcptg,anticipating
antcpz,anticipation
anxits,anxieties
anxit,anxiety
anxus,anxious
ane,any
anbd,anybody
anbds,anybody's
anhw,anyhow
anmr,anymore
anon,anyone
anplc,anyplace
ang,anything
antim,anytime
anwa,anyway
anwr,anywhere
aprt,apart
aprtm,apartment
aprtms,apartments
apatc,apathetic
apat,apathy
aplgs,apologies
aplgz,apologize
apld,appalled
aplg,appalling
aprnt,apparent
aprntl,apparently
apel,appeal
apeld,appealed
apelg,appealing
apels,appeals
aper,appear
apernc,appearance
aperncs,appearances
aperd,appeared
aperg,appearing
apers,appears
apes,appease
apesd,appeased
apesg,appeasing
apndd,appended
apndg,appending
aptit,appetite
aptizr,appetizer
aptizrs,appetizers
aptizg,appetizing
aplud,applaud
apludd,applauded
apludg,applauding
aplus,applause
apl,apple
apls,apples
aplcnts,applicants
aplcz,application
aplczs,applications
aplid,applied
aplis,applies
apli,apply
aplig,applying
apnt,appoint
aptd,appointed
apntm,appointment
aptms,appointments
aprasl,appraisal
apras,appraise
aprasd,appraised
aprct,appreciate
aprctd,appreciated
aprcts,appreciates
aprcz,appreciation
aprctv,appreciative
aprhnd,apprehend
aprhnz,apprehension
aprhnsv,apprehensive
aproc,approach
aprocd,approached
aprocs,approaches
aprocg,approaching
aprprt,appropriate
aprprtl,appropriately
aprvl,approval
aprv,approve
aprvd,approved
aprvs,approves
aprovg,approving
aprxmt,approximate
aprxmtl,approximately
aprxmz,approximation
apr,April
arbtrr,arbitrary
artc,arctic
r,are
ara,area
aras,areas
rnt,aren't
argu,argue
argud,argued
argug,arguing
argum,argument
argums,arguments
ard,arid
arz,arise
arzn,arisen
arzs,arises
arzg,arising
artmtc,arithmetic
arm,arm
armd,armed
armr,armor
arms,arms
arme,army
aroz,arose
arnd,around
arnj,arrange
arnjd,arranged
arnjm,arrangement
arnjms,arrangements
arnjg,arranging
arst,arrest
arstd,arrested
arstg,arresting
arvl,arrival
arvls,arrivals
arv,arrive
arvd,arrived
arvs,arrives
arvg,arriving
argnc,arrogance
argnt,arrogant
aro,arrow
aros,arrows
arsnl,arsenal
arsnls,arsenals
art,art
artcl,article
artcls,articles
artclt,articulate
artfcl,artificial
artfcll,artificially
artst,artist
artstc,artistic
arts,arts
as,as
ascrib,ascribe
asamd,ashamed
ashs,ashes
asid,aside
ask,ask
askd,asked
askg,asking
asks,asks
aslep,asleep
aspct,aspect
aspcts,aspects
asprz,aspiration
asprzs,aspirations
aspir,aspire
asmbl,assemble
asmbld,assembled
asmblg,assembling
asmbll,assembly
asrt,assert
asrtd,asserted
asrtg,asserting
asrz,assertion
asrzs,assertions
asrtv,assertive
asrtvns,assertiveness
asrts,asserts
ass,assess
assd,assessed
asss,assesses
assg,assessing
assm,assessment
assms,assessments
ast,asset
asts,assets
asin,assign
asind,assigned
asing,assigning
asinm,assignment
asins,assigns
asst,assist
asstnc,assistance
assnt,assistant
asstd,assisted
assts,assists
asoct,associate
asoctd,associated
ascots,associates
asocz,association
asoczs,associations
asort,assort
asortd,assorted
asrtm,assortment
asum,assume
asumd,assumed
asums,assumes
asumg,assuming
asumz,assumption
asumzs,assumptions
asurnc,assurance
asurncs,assurances
asur,assure
asurd,assured
asurs,assures
asurg,assuring
astns,astonish
astnss,astonishes
astnsg,astonishing
astond,astound
astondd,astounded
astondg,astounding
astonds,astounds
astra,astray
astut,astute
astutl,astutely
at,at
ate,ate
atltc,athletic
atltcs,athletics
atmsfr,atmosphere
atm,atom
atmc,atomic
atms,atoms
aton,atone
atond,atoned
atc,attach
atcd,attached
atcm,attachment
atcms,attachments
atk,attack
atkd,attacked
atkg,attacking
atks,attacks
atan,attain
atanb,attainable
atand,attained
atmt,attempt
atmtd,attempted
atmtg,attempting
atmts,attempts
atnd,attend
atndnc,attendance
atndd,attended
atndg,attending
atnz,attention
atntv,attentive
atntvl,attentively
atst,attest
atsts,attests
attud,attitude
attuds,attitudes
atorn,attorney
atrct,attract
atrctd,attracted
atrcz,attraction
atrczs,attractions
atrctv,attractive
atrcts,attracts
atrbut,attribute
atrbuts,attributes
atun,attune
atund,attuned
audnc,audience
aug,August
ant,aunt
ator,author
atorts,authorities
atort,authority
atorzd,authorized
ators,authors
atmtc,automatic
atmtcl,automatically
atombl,automobile
atombls,automobiles
autm,autumn
avlbt,availability
avlb,available
avnu,avenue
avnus,avenues
avrj,average
avrjd,averaged
avrjg,averaging
avrt,avert
avrtd,averted
avrtg,averting
avaz,aviation
avatr,aviator
avyd,avoid
avydb,avoidable
avydnc,avoidance
avydd,avoided
avydg,avoiding
avyds,avoids
awat,await
awatg,awaiting
awats,awaits
awak,awake
awakn,awaken
awakng,awakening
awaks,awakes
awakg,awaking
awd,award
awr,aware
awrns,awareness
awa,away
aw,awe
awf,awful
awil,awhile
akwd,awkward
awok,awoke
ax,axe
babl,babble
bablg,babbling
bbs,babies
bb,baby
bk,back
bkd,backed
bkfir,backfire
bkfird,backfired
bkfirs,backfires
bkgrnd,background
bkg,backing
bks,backs
bktrk,backtrack
bktrkg,backtracking
bkp,backup
bkwd,backward
bkwds,backwards
bctra,bacteria
bd,bad
bj,badge
bjs,badges
bdl,badly
bfl,baffle
bfls,baffles
bflg,baffling
bag,bag
bgj,baggage
bags,bags
balot,bailout
bak,bake
bakd,baked
baks,bakes
bakg,baking
blnc,balance
blncd,balanced
blncs,balances
blncg,balancing
bl,ball
balon,balloon
bls,balls
bmbo,bamboo
ban,ban
bnns,bananas
bnd,band
bndj,bandage
bndt,bandit
bnds,bands
bndwgn,bandwagon
bng,bang
bns,banish
bnsd,banished
bnk,bank
bnkd,banked
bnkg,banking
bnkrpt,bankrupt
bnkrpc,bankruptcy
bnks,banks
br,bar
brbrn,barbarian
brbrc,barbaric
bar,bare
bard,bared
barl,barely
bars,bares
barst,barest
brgn,bargain
brgnd,bargained
bark,bark
barn,barn
barns,barns
brrd,barred
brl,barrel
brls,barrels
brr,barrier
brrs,barriers
brs,bars
bas,base
basd,based
bases,bases
basc,basic
bascs,basics
bass,basis
bsk,bask
bskt,basket
bskts,baskets
bskg,basking
bsks,basks
bat,bat
btc,batch
bath,bath
batrm,bathroom
batrs,batteries
batr,battery
btl,battle
btlms,battlements
btls,battles
btlg,battling
bay,bay
b,be
bec,beach
becd,beached
becs,beaches
becg,beaching
becn,beacon
becns,beacons
bed,bead
beds,beads
bem,beam
ben,bean
bens,beans
ber,bear
berrs,bearers
berg,bearing
bergs,bearings
bers,bears
best,beast
bests,beasts
bet,beat
betn,beaten
betg,beating
bets,beats
buf,beautiful
bufl,beautifully
but,beauty
bcam,became
bcs,because
bek,beck
bkn,beckon
bkng,beckoning
bkns,beckons
bcm,become
bcms,becomes
bcmg,becoming
bdd,bed
bdg,bedding
bdrm,bedroom
bdds,beds
bdtim,bedtime
bn,been
bep,beep
bepd,beeped
bepg,beeping
beer,beer
beers,beers
betl,beetle
betls,beetles
bf,before
bfhnd,beforehand
beg,beg
bgan,began
bgg,begging
bgn,begin
bgnrs,beginners
bgng,beginning
bgngs,beginnings
bgns,begins
bgun,begun
bhf,behalf
bhv,behave
bhvd,behaved
bhvs,behaves
bhvg,behaving
bhvr,behavior
bhnd,behind
bhld,behold
bg,being
bgs,beings
blf,belief
blfs,beliefs
blv,believe
blvd,believed
blvs,believes
blvg,believing
bel,bell
blw,bellow
blws,bellows
bels,bells
blg,belong
blgd,belonged
blngg,belonging
blggs,belongings
blgs,belongs
belo,below
belt,belt
belts,belts
bnc,bench
bncs,benches
bend,bend
bndg,bending
bends,bends
bnet,beneath
bnfcl,beneficial
bnft,benefit
bnftd,benefited
bnfts,benefits
bnin,benign
bnt,bent
bert,berate
bratg,berating
brevd,bereaved
brevm,bereavement
brft,bereft
beris,berries
beri,berry
bsid,beside
bsids,besides
bst,best
bett,bet
btra,betray
btrad,betrayed
btrag,betraying
btras,betrays
betts,bets
btr,better
btw,between
bvl,bevel
bvld,beveled
bwr,beware
byn,beyond
bis,bias
bisd,biased
bibl,Bible
bccl,bicycle
bccls,bicycles
bid,bid
bidr,bidder
bidg,bidding
big,big
bgr,bigger
bgst,biggest
bil,bill
bilg,billing
biln,billion
bils,bills
bind,bind
bindr,binder
bindg,binding
binds,binds
biljcl,biological
bilog,biology
brd,bird
brds,birds
brt,birth
brtda,birthday
brtdas,birthdays
btt,bit
bit,bite
bites,bites
bitg,biting
btts,bits
btn,bitten
bitr,bitter
bitrl,bitterly
bitrns,bitterness
bzr,bizarre
blk,black
blad,blade
blam,blame
blamd,blamed
blamls,blameless
blamg,blaming
blnk,blank
blnkt,blanket
blnkts,blankets
blnks,blanks
blst,blast
blaz,blaze
blazg,blazing
blek,bleak
bled,bleed
blnd,blend
blnds,blends
bles,bless
blesd,blessed
blsg,blessing
blsgs,blessings
blew,blew
blit,blight
blind,blind
blindg,blinding
blinds,blinds
blink,blink
blinkg,blinking
blis,bliss
blisf,blissful
blstr,blister
blok,block
blokd,blocked
blokg,blocking
bloks,blocks
blod,blood
blode,bloody
blom,bloom
blomg,blooming
bloms,blooms
blsm,blossom
blsms,blossoms
blo,blow
blog,blowing
blon,blown
blos,blows
blu,blue
bluf,bluff
blndr,blunder
blndrs,blunders
blnt,blunt
blntl,bluntly
blr,blur
blrd,blurred
blrg,blurring
board,board
boards,boards
boat,boat
bots,boats
bods,bodies
bod,body
bogd,bogged
bogl,boggle
bogls,boggles
byl,boil
byld,boiled
bylg,boiling
byls,boils
bold,bold
bolstr,bolster
bolt,bolt
bolts,bolts
bm,bomb
bms,bombs
bonnd,bond
bonnds,bonds
bon,bone
bons,bones
bnus,bonus
bnuss,bonuses
bok,book
bokg,booking
boks,books
bom,boom
bomg,booming
boms,booms
bost,boost
boot,boot
boots,boots
brdr,border
brdrg,bordering
brdrs,borders
bor,bore
bord,bored
bordm,boredom
borg,boring
born,born
borne,borne
boro,borrow
borod,borrowed
boror,borrower
borors,borrowers
borog,borrowing
boros,borrows
bo,both
botr,bother
botrd,bothered
botrg,bothering
botrs,bothers
botl,bottle
botls,bottles
btm,bottom
btmls,bottomless
btms,bottoms
bot,bought
boldr,boulder
bonc,bounce
boncg,bouncing
bond,bound
bondrs,boundaries
bondr,boundary
bonds,bounds
bonts,bounties
bontf,bountiful
bont,bounty
bw,bow
bowl,bowel
bwl,bowl
bwls,bowls
bws,bows
bx,box
bxd,boxed
bxs,boxes
bxg,boxing
by,boy
bys,boys
brac,brace
bracd,braced
bracs,braces
bracg,bracing
brag,brag
bragd,bragged
bragg,bragging
bran,brain
brans,brains
branstrm,brainstorm
brak,brake
braks,brakes
brnc,branch
brncs,branches
brncg,branching
brnd,brand
brndd,branded
brndg,branding
brnds,brands
bras,brass
brvdo,bravado
brav,brave
brzn,brazen
bred,bread
brk,break
brkdw,breakdown
brkfst,breakfast
brkg,breaking
brknk,breakneck
brks,breaks
brktrou,breakthrough
brktrous,breakthroughs
bret,breath
brete,breathe
bretd,breathed
bretg,breathing
brez,breeze
brezs,breezes
brw,brew
brwd,brewed
brwg,brewing
brib,bribe
bric,brick
brj,bridge
brjd,bridged
brjs,bridges
brjg,bridging
bref,brief
brefd,briefed
brefg,briefing
brefl,briefly
brefs,briefs
brit,bright
britn,brighten
britr,brighter
britst,brightest
britl,brightly
brlnc,brilliance
brlnt,brilliant
brlntl,brilliantly
brm,brim
brmd,brimmed
brmg,brimming
brms,brims
brg,bring
brgg,bringing
brgs,brings
brnk,brink
brsk,brisk
brskl,briskly
brsl,bristle
brsls,bristles
brslg,bristling
brits,British
brod,broad
brdcst,broadcast
brodl,broadly
brok,broke
brokn,broken
brodr,brooder
bro,brother
bros,brothers
brot,brought
brwn,brown
brws,browse
brwsg,browsing
brus,brush
brsd,brushed
brss,brushes
brsg,brushing
brutl,brutal
brut,brute
bbl,bubble
bbld,bubbled
bbls,bubbles
bblg,bubbling
bkt,bucket
bkts,buckets
bkl,buckle
bkld,buckled
bkls,buckles
bklg,buckling
bdj,budge
bdjd,budged
bjt,budget
bjtd,budgeted
bjtg,budgeting
bjts,budgets
bdjg,budging
bfr,buffer
bfrs,buffers
buft,buffet
bufts,buffets
bug,bug
bugg,bugging
buge,buggy
bugs,bugs
bld,build
bldr,builder
bldg,building
bldgs,buildings
blds,builds
blt,built
blb,bulb
bul,bull
bult,bullet
bultn,bulletin
bultns,bulletins
bmp,bump
bmpd,bumped
bmpg,bumping
bmps,bumps
bunc,bunch
bndl,bundle
bndld,bundled
bndls,bundles
bndlg,bundling
boy,buoy
boys,buoys
brdn,burden
brdnd,burdened
brdng,burdening
brdns,burdens
buro,bureau
burocrc,bureaucracy
burocrtc,bureaucratic
buros,bureaus
burl,burial
burls,burials
burd,buried
brn,burn
burnd,burned
brnr,burner
brng,burning
brnot,burnout
brns,burns
brst,burst
brstg,bursting
brsts,bursts
bur,bury
bus,bus
buss,buses
bush,bush
bushs,bushes
bzns,business
bznss,businesses
bznsmn,businessman
bz,busy
bt,but
butr,butter
btrfli,butterfly
butn,button
butng,buttoning
butns,buttons
buy,buy
buyr,buyer
buyg,buying
buys,buys
buz,buzz
bi,by
bye,bye
bips,bypass
bipsd,bypassed
bipsg,bypassing
cbj,cabbage
cbn,cabin
cbnt,cabinet
cbnts,cabinets
cbns,cabins
cabl,cable
cabls,cables
cadnc,cadence
cj,cage
cjs,cages
cak,cake
caks,cakes
clclt,calculate
clcltd,calculated
clcltg,calculating
clclz,calculation
clclzs,calculations
calndr,calendar
calndrs,calendars
caf,calf
ca,California
cal,call
cald,called
calr,caller
calrs,callers
calg,calling
cals,calls
clm,calm
clmd,calmed
clmr,calmer
clmg,calming
clml,calmly
clms,calms
calre,calorie
calres,calories
cam,came
cmra,camera
cmp,camp
cmpan,campaign
cmpg,camping
c,can
cnt,can't
cnda,Canada
cnal,canal
cncl,cancel
cnclaz,cancellation
cnclazs,cancellations
cncld,cancelled
cncr,cancer
cncrs,cancers
cddat,candidate
cddats,candidates
cnds,candies
cndl,candle
cndls,candles
cnd,candy
can,cane
cans,canes
cnot,cannot
cns,cans
cnvs,canvas
cap,cap
capblts,capabilities
capbt,capability
capb,capable
capct,capacity
cptl,capital
cptlz,capitalize
cptls,capitals
caps,caps
cptn,captain
cptvtg,captivating
cptv,captive
cptvt,captivity
cptur,capture
cpturd,captured
cpturs,captures
cpturg,capturing
cr,car
crbn,carbon
crd,card
crdbrd,cardboard
crds,cards
car,care
card,cared
crer,career
crers,careers
carfre,carefree
carf,careful
carfl,carefully
carls,careless
carlsns,carelessness
cars,cares
cres,caress
crgo,cargo
carg,caring
crnvl,carnival
carj,carriage
cared,carried
cares,carries
care,carry
careg,carrying
cart,cart
crtrj,cartridge
carts,carts
carv,carve
carvd,carved
cas,case
cass,cases
cs,cash
csd,cashed
csg,cashing
cskt,casket
cskts,caskets
cast,cast
casl,castle
casls,castles
casts,casts
csul,casual
csull,casually
cat,cat
ctlg,catalog
ctlgs,catalogs
ctstrf,catastrophe
ctstrfs,catastrophes
ctc,catch
ctcs,catches
ctcg,catching
ctgrs,categories
ctgrz,categorize
ctgr,category
catrg,catering
cats,cats
ctl,cattle
cwt,caught
cws,cause
cwsd,caused
cwss,causes
cwsg,causing
cwz,caution
cwzs,cautions
cwsus,cautious
cav,cave
cvrn,cavern
cesd,ceased
cess,ceases
celg,ceiling
clbrt,celebrate
clbrtd,celebrated
clbrtg,celebrating
clbrz,celebration
clbrzs,celebrations
cel,cell
cels,cells
cem,cement
cmtr,cemetery
cnsr,censor
cnsrs,censors
cent,cent
cntr,center
cntrd,centered
cntrpc,centerpiece
cntrs,centers
cntrl,central
cnts,cents
cnturs,centuries
cntur,century
crmons,ceremonies
crmn,ceremony
crtn,certain
crtnl,certainly
crtnt,certainty
crtfct,certificate
crtfcts,certificates
crtfcz,certification
crtfid,certified
crtfi,certify
cain,chain
caind,chained
cains,chains
cair,chair
carmn,chairman
cairs,chairs
calk,chalk
clnj,challenge
clnjd,challenged
clnjs,challenges
clnjg,challenging
cambr,chamber
cambrs,chambers
cmpon,champion
cnc,chance
cncd,chanced
cncs,chances
cnj,change
cnjd,changed
cnjs,changes
cnjg,changing
cnl,channel
cnls,channels
cant,chant
caos,chaos
caotc,chaotic
cptr,chapter
cptrs,chapters
crctr,character
crctrstc,characteristic
crctrstcs,characteristics
crctrz,characterize
crctrs,characters
crj,charge
crjd,charged
crjs,charges
crm,charm
crmd,charmed
crt,chart
crts,charts
chas,chase
chasd,chased
chass,chases
chasg,chasing
chat,chat
cep,cheap
cepr,cheaper
cet,cheat
cetd,cheated
cetg,cheating
ck,check
ckd,checked
ckr,checker
ckg,checking
cklst,checklist
cks,checks
cek,cheek
ceks,cheeks
cer,cheer
cerf,cheerful
cerfl,cheerfully
ces,cheese
cmcl,chemical
cmcls,chemicals
cmstr,chemistry
ceris,cherish
cest,chest
cests,chests
ckn,chicken
ckns,chickens
cef,chief
cefl,chiefly
cefs,chiefs
cild,child
cilds,child's
cildhd,childhood
cildn,children
cil,chill
cilg,chilling
cils,chills
cin,chin
cina,china
cines,Chinese
cins,chins
cip,chip
cipd,chipped
cipg,chipping
cips,chips
cisl,chisel
cislg,chiseling
cisls,chisels
coclt,chocolate
coclts,chocolates
cyc,choice
cycs,choices
coos,choose
cooss,chooses
coosg,choosing
cos,chose
cosn,chosen
crstms,Christmas
cronc,chronic
croncll,chronically
crnljcl,chronological
crnljcll,chronologically
cuk,chuck
cukd,chucked
cukg,chucking
cnk,chunk
cnkd,chunked
cnkg,chunking
cnks,chunks
cnke,chunky
crc,church
crcs,churches
curn,churn
curng,churning
crcl,circle
crcld,circled
crcls,circles
crclg,circling
circt,circuit
circts,circuits
crclr,circular
crcult,circulate
crcltg,circulating
crcstnc,circumstance
crcstncs,circumstances
crcmvnt,circumvent
crcmvntg,circumventing
crcmvnts,circumvents
crcus,circus
ctes,cities
ctzn,citizen
ctzns,citizens
cte,city
cvl,civil
cvln,civilian
cvlzz,civilization
cvlzd,civilized
clad,clad
clam,claim
clamd,claimed
clamg,claiming
clams,claims
clmor,clamor
clrfcz,clarification
clrfi,clarify
clrt,clarity
clas,clash
class,clashes
cls,class
clsd,classed
clss,classes
clsc,classic
clscl,classical
clscs,classics
clasfcz,classification
clsfid,classified
clsfis,classifies
clsfi,classify
clsg,classing
clw,claw
clwg,clawing
clws,claws
cla,clay
cln,clean
clnd,cleaned
clnr,cleaner
clng,cleaning
clnl,cleanly
clns,cleans
clnss,cleanse
clr,clear
clrd,cleared
clrr,clearer
clrst,clearest
clrg,clearing
clrl,clearly
clrs,clears
clrk,clerk
clvr,clever
clvrl,cleverly
clvrns,cleverness
clik,click
clikd,clicked
clikg,clicking
cliks,clicks
clif,cliff
climt,climate
clim,climb
climd,climbed
climr,climber
climg,climbing
clims,climbs
clinc,clinch
clg,cling
clgg,clinging
clgs,clings
clnc,clinic
clncl,clinical
clncll,clinically
clncs,clinics
clp,clip
clpd,clipped
clpg,clipping
clps,clips
clok,cloak
cloks,cloaks
clk,clock
clks,clocks
clos,close
closd,closed
closl,closely
closr,closer
closs,closes
closst,closest
clst,closet
closg,closing
clot,cloth
clots,clothes
clotg,clothing
clwd,cloud
clwdd,clouded
clwds,clouds
clwde,cloudy
clb,club
clbs,clubs
clu,clue
clus,clues
clmsns,clumsiness
clmse,clumsy
clstr,cluster
clstrs,clusters
cltr,clutter
cltrd,cluttered
cltrs,clutters
coc,coach
cocd,coached
cocs,coaches
cocg,coaching
coal,coal
coars,coarse
cost,coast
costl,coastal
costg,coasting
costs,coasts
cot,coat
cotd,coated
cotg,coating
cots,coats
cox,coax
coxd,coaxed
coxs,coaxes
coxg,coaxing
cbwb,cobweb
cbwbs,cobwebs
cdl,coddle
cdld,coddled
cdls,coddles
cod,code
codd,coded
cods,codes
codg,coding
cofe,coffee
cofn,coffin
cofns,coffins
cgnz,cognition
cgntv,cognitive
cohrnc,coherence
cohrnt,coherent
cohrntl,coherently
cyl,coil
cylg,coiling
cyls,coils
cyn,coin
cyned,coined
cyns,coins
cld,cold
cldr,colder
clds,colds
colbrt,collaborate
colbrz,collaboration
colps,collapse
colpsd,collapsed
colpss,collapses
colpsg,collapsing
coleg,colleague
clct,collect
clctd,collected
clctg,collecting
clcz,collection
clczs,collections
clctv,collective
colj,college
coljs,colleges
colns,colonies
coln,colony
clor,color
clord,colored
clorf,colorful
clorg,coloring
clors,colors
colm,column
colms,columns
com,comb
cbt,combat
cbtd,combated
cbtg,combating
cbts,combats
comd,combed
cbnz,combination
cbnzs,combinations
cbin,combine
cbind,combined
cbins,combines
comg,combing
cbing,combining
coms,combs
cm,come
cms,comes
cfrt,comfort
cfrtb,comfortable
cfrtbl,comfortably
cfrtd,comforted
cfrtg,comforting
cfrts,comforts
cmg,coming
cmnd,command
cmdd,commanded
cmdr,commander
cmndg,commanding
cmds,commands
cmmrt,commemorate
cmnc,commence
cmend,commend
cmendd,commended
cmm,comment
cmntr,commentary
cmmg,commenting
cmms,comments
cmrc,commerce
cmrsl,commercial
cmz,commission
cmt,commit
cmtm,commitment
cmtms,commitments
cmts,commits
cmtd,committed
cmte,committee
comdt,commodity
cmn,common
cmnl,commonly
cmnplc,commonplace
cmoz,commotion
cmnct,communicate
cmnctd,communicated
cmncts,communicates
cmnctg,communicating
cmncz,communication
